Subcategory name;Subcategory code;nvcrTimeSerieAreaName;Catalogue code;Measure name;Measure code
Vessel operational statistics;VES;0.25 degree raster;R25(--);AE energy anchored loaded;AEENANLO
Vessel operator type size operational statistics;VOP;Berth area;BER(--);AE energy anchored total;AEENANTO
Vessel owner per type size operational statistics;VOW;ECA area;ECA(--);AE energy anchored unloaded;AEENANUL
Vessel type size operational statistics (segment);VTS;Economic zone;EEZ(--);AE energy at yard loaded;AEENYALO
;;Economic zone/Freshwater;EFR(--);AE energy at yard total;AEENYATO
;;Freshwater;FWA(--);AE energy at yard unloaded;AEENYAUL
;;Global;GLO(--);AE energy maneuvering loaded;AEENMALO
;;Oil field;OFI(--);AE energy maneuvering total;AEENMATO
;;Piracy area JWC;JWC(--);AE energy maneuvering unloaded;AEENMAUL
;;Port area;PRT(--);AE energy moored loaded;AEENMOLO
;;Sea area;SEA(--);AE energy moored total;AEENMOTO
;;Terminal area;TER(--);AE energy moored unloaded;AEENMOUL
;;Territorial water;TWA(--);AE energy moving loaded;AEENMVLO
;;Trading area;TRA(--);AE energy moving total;AEENMVTO
;;YAMIT area;YAM(--);AE energy moving unloaded;AEENMVUL
;;;;AE energy out of traffic loaded;AEENOTLO
;;;;AE energy out of traffic total;AEENOTTO
;;;;AE energy out of traffic unloaded;AEENOTUL
;;;;AE energy steaming loaded;AEENSTLO
;;;;AE energy steaming total;AEENSTTO
;;;;AE energy steaming unloaded;AEENSTUL
;;;;AE energy still loaded;AEENSLLO
;;;;AE energy still total;AEENSLTO
;;;;AE energy still undefined loaded;AEENSULO
;;;;AE energy still undefined total;AEENSUTO
;;;;AE energy still undefined unloaded;AEENSUUL
;;;;AE energy still unloaded;AEENSLUL
;;;;AE energy total total;AEENTOTO
;;;;AE fuel anchored loaded;AEFUANLO
;;;;AE fuel anchored total;AEFUANTO
;;;;AE fuel anchored unloaded;AEFUANUL
;;;;AE fuel at yard loaded;AEFUYALO
;;;;AE fuel at yard total;AEFUYATO
;;;;AE fuel at yard unloaded;AEFUYAUL
;;;;AE fuel maneuvering loaded;AEFUMALO
;;;;AE fuel maneuvering total;AEFUMATO
;;;;AE fuel maneuvering unloaded;AEFUMAUL
;;;;AE fuel moored loaded;AEFUMOLO
;;;;AE fuel moored total;AEFUMOTO
;;;;AE fuel moored unloaded;AEFUMOUL
;;;;AE fuel moving loaded;AEFUMVLO
;;;;AE fuel moving total;AEFUMVTO
;;;;AE fuel moving unloaded;AEFUMVUL
;;;;AE fuel out of traffic loaded;AEFUOTLO
;;;;AE fuel out of traffic total;AEFUOTTO
;;;;AE fuel out of traffic unloaded;AEFUOTUL
;;;;AE fuel per day anchored loaded;AEFDANLO
;;;;AE fuel per day anchored total;AEFDANTO
;;;;AE fuel per day anchored unloaded;AEFDANUL
;;;;AE fuel per day at yard loaded;AEFDYALO
;;;;AE fuel per day at yard total;AEFDYATO
;;;;AE fuel per day at yard unloaded;AEFDYAUL
;;;;AE fuel per day moored loaded;AEFDMOLO
;;;;AE fuel per day moored total;AEFDMOTO
;;;;AE fuel per day moored unloaded;AEFDMOUL
;;;;AE fuel per day out of traffic loaded;AEFDOTLO
;;;;AE fuel per day out of traffic total;AEFDOTTO
;;;;AE fuel per day out of traffic unloaded;AEFDOTUL
;;;;AE fuel per day still loaded;AEFDSLLO
;;;;AE fuel per day still total;AEFDSLTO
;;;;AE fuel per day still undefined loaded;AEFDSULO
;;;;AE fuel per day still undefined total;AEFDSUTO
;;;;AE fuel per day still undefined unloaded;AEFDSUUL
;;;;AE fuel per day still unloaded;AEFDSLUL
;;;;AE fuel per day total total;AEFDTOTO
;;;;AE fuel steaming loaded;AEFUSTLO
;;;;AE fuel steaming total;AEFUSTTO
;;;;AE fuel steaming unloaded;AEFUSTUL
;;;;AE fuel still loaded;AEFUSLLO
;;;;AE fuel still total;AEFUSLTO
;;;;AE fuel still undefined loaded;AEFUSULO
;;;;AE fuel still undefined total;AEFUSUTO
;;;;AE fuel still undefined unloaded;AEFUSUUL
;;;;AE fuel still unloaded;AEFUSLUL
;;;;AE fuel total total;AEFUTOTO
;;;;AE MCR percent maneuvering loaded;AECRMALO
;;;;AE MCR percent maneuvering total;AECRMATO
;;;;AE MCR percent maneuvering unloaded;AECRMAUL
;;;;AE MCR percent moving loaded;AECRMVLO
;;;;AE MCR percent moving total;AECRMVTO
;;;;AE MCR percent moving unloaded;AECRMVUL
;;;;AE MCR percent steaming loaded;AECRSTLO
;;;;AE MCR percent steaming total;AECRSTTO
;;;;AE MCR percent steaming unloaded;AECRSTUL
;;;;AE MCR percent still loaded;AECRSLLO
;;;;AE MCR percent still total;AECRSLTO
;;;;AE MCR percent still unloaded;AECRSLUL
;;;;AE MCR percent total total;AECRTOTO
;;;;AE power maneuvering loaded;AEPWMALO
;;;;AE power maneuvering total;AEPWMATO
;;;;AE power maneuvering unloaded;AEPWMAUL
;;;;AE power moving loaded;AEPWMVLO
;;;;AE power moving total;AEPWMVTO
;;;;AE power moving unloaded;AEPWMVUL
;;;;AE power steaming loaded;AEPWSTLO
;;;;AE power steaming total;AEPWSTTO
;;;;AE power steaming unloaded;AEPWSTUL
;;;;AE power still loaded;AEPWSLLO
;;;;AE power still total;AEPWSLTO
;;;;AE power still unloaded;AEPWSLUL
;;;;AE power total total;AEPWTOTO
;;;;AER Total Total;AER_TOTO
;;;;Average distance maneuvering loaded;AVDIMALO
;;;;Average distance maneuvering total;AVDIMATO
;;;;Average distance maneuvering unloaded;AVDIMAUL
;;;;Average distance moving loaded;AVDIMVLO
;;;;Average distance moving total;AVDIMVTO
;;;;Average distance moving unloaded;AVDIMVUL
;;;;Average distance steaming loaded;AVDISTLO
;;;;Average distance steaming total;AVDISTTO
;;;;Average distance steaming unloaded;AVDISTUL
;;;;Average distance still total;AVDISLTO
;;;;Average distance total total;AVDITOTO
;;;;Boiler energy anchored loaded;BOENANLO
;;;;Boiler energy anchored total;BOENANTO
;;;;Boiler energy anchored unloaded;BOENANUL
;;;;Boiler energy at yard loaded;BOENYALO
;;;;Boiler energy at yard total;BOENYATO
;;;;Boiler energy at yard unloaded;BOENYAUL
;;;;Boiler energy maneuvering loaded;BOENMALO
;;;;Boiler energy maneuvering total;BOENMATO
;;;;Boiler energy maneuvering unloaded;BOENMAUL
;;;;Boiler energy moored loaded;BOENMOLO
;;;;Boiler energy moored total;BOENMOTO
;;;;Boiler energy moored unloaded;BOENMOUL
;;;;Boiler energy moving loaded;BOENMVLO
;;;;Boiler energy moving total;BOENMVTO
;;;;Boiler energy moving unloaded;BOENMVUL
;;;;Boiler energy out of traffic loaded;BOENOTLO
;;;;Boiler energy out of traffic total;BOENOTTO
;;;;Boiler energy out of traffic unloaded;BOENOTUL
;;;;Boiler energy steaming loaded;BOENSTLO
;;;;Boiler energy steaming total;BOENSTTO
;;;;Boiler energy steaming unloaded;BOENSTUL
;;;;Boiler energy still loaded;BOENSLLO
;;;;Boiler energy still total;BOENSLTO
;;;;Boiler energy still undefined loaded;BOENSULO
;;;;Boiler energy still undefined total;BOENSUTO
;;;;Boiler energy still undefined unloaded;BOENSUUL
;;;;Boiler energy still unloaded;BOENSLUL
;;;;Boiler energy total total;BOENTOTO
;;;;Boiler fuel anchored loaded;BOFUANLO
;;;;Boiler fuel anchored total;BOFUANTO
;;;;Boiler fuel anchored unloaded;BOFUANUL
;;;;Boiler fuel at yard loaded;BOFUYALO
;;;;Boiler fuel at yard total;BOFUYATO
;;;;Boiler fuel at yard unloaded;BOFUYAUL
;;;;Boiler fuel maneuvering loaded;BOFUMALO
;;;;Boiler fuel maneuvering total;BOFUMATO
;;;;Boiler fuel maneuvering unloaded;BOFUMAUL
;;;;Boiler fuel moored loaded;BOFUMOLO
;;;;Boiler fuel moored total;BOFUMOTO
;;;;Boiler fuel moored unloaded;BOFUMOUL
;;;;Boiler fuel moving loaded;BOFUMVLO
;;;;Boiler fuel moving total;BOFUMVTO
;;;;Boiler fuel moving unloaded;BOFUMVUL
;;;;Boiler fuel out of traffic loaded;BOFUOTLO
;;;;Boiler fuel out of traffic total;BOFUOTTO
;;;;Boiler fuel out of traffic unloaded;BOFUOTUL
;;;;Boiler fuel per day anchored loaded;BOPDANLO
;;;;Boiler fuel per day anchored total;BOPDANTO
;;;;Boiler fuel per day anchored unloaded;BOPDANUL
;;;;Boiler fuel per day at yard loaded;BOPDYALO
;;;;Boiler fuel per day at yard total;BOPDYATO
;;;;Boiler fuel per day at yard unloaded;BOPDYAUL
;;;;Boiler fuel per day maneuvering loaded;BOPDMALO
;;;;Boiler fuel per day maneuvering total;BOPDMATO
;;;;Boiler fuel per day maneuvering unloaded;BOPDMAUL
;;;;Boiler fuel per day moored loaded;BOPDMOLO
;;;;Boiler fuel per day moored total;BOPDMOTO
;;;;Boiler fuel per day moored unloaded;BOPDMOUL
;;;;Boiler fuel per day moving loaded;BOPDMVLO
;;;;Boiler fuel per day moving total;BOPDMVTO
;;;;Boiler fuel per day moving unloaded;BOPDMVUL
;;;;Boiler fuel per day out of traffic loaded;BOPDOTLO
;;;;Boiler fuel per day out of traffic total;BOPDOTTO
;;;;Boiler fuel per day out of traffic unloaded;BOPDOTUL
;;;;Boiler fuel per day steaming loaded;BOPDSTLO
;;;;Boiler fuel per day steaming total;BOPDSTTO
;;;;Boiler fuel per day steaming unloaded;BOPDSTUL
;;;;Boiler fuel per day still loaded;BOPDSLLO
;;;;Boiler fuel per day still total;BOPDSLTO
;;;;Boiler fuel per day still undefined loaded;BOPDSULO
;;;;Boiler fuel per day still undefined total;BOPDSUTO
;;;;Boiler fuel per day still undefined unloaded;BOPDSUUL
;;;;Boiler fuel per day still unloaded;BOPDSLUL
;;;;Boiler fuel per day total total;BOPDTOTO
;;;;Boiler fuel per nautical mile maneuvering loaded;BONMMALO
;;;;Boiler fuel per nautical mile maneuvering total;BONMMATO
;;;;Boiler fuel per nautical mile maneuvering unloaded;BONMMAUL
;;;;Boiler fuel per nautical mile moving loaded;BONMMVLO
;;;;Boiler fuel per nautical mile moving total;BONMMVTO
;;;;Boiler fuel per nautical mile moving unloaded;BONMMVUL
;;;;Boiler fuel per nautical mile steaming loaded;BONMSTLO
;;;;Boiler fuel per nautical mile steaming total;BONMSTTO
;;;;Boiler fuel per nautical mile steaming unloaded;BONMSTUL
;;;;Boiler fuel steaming loaded;BOFUSTLO
;;;;Boiler fuel steaming total;BOFUSTTO
;;;;Boiler fuel steaming unloaded;BOFUSTUL
;;;;Boiler fuel still loaded;BOFUSLLO
;;;;Boiler fuel still total;BOFUSLTO
;;;;Boiler fuel still undefined loaded;BOFUSULO
;;;;Boiler fuel still undefined total;BOFUSUTO
;;;;Boiler fuel still undefined unloaded;BOFUSUUL
;;;;Boiler fuel still unloaded;BOFUSLUL
;;;;Boiler fuel total total;BOFUTOTO
;;;;Boiler power maneuvering loaded;BOPWMALO
;;;;Boiler power maneuvering total;BOPWMATO
;;;;Boiler power maneuvering unloaded;BOPWMAUL
;;;;Boiler power moving loaded;BOPWMVLO
;;;;Boiler power moving total;BOPWMVTO
;;;;Boiler power moving unloaded;BOPWMVUL
;;;;Boiler power steaming loaded;BOPWSTLO
;;;;Boiler power steaming total;BOPWSTTO
;;;;Boiler power steaming unloaded;BOPWSTUL
;;;;Boiler power still loaded;BOPWSLLO
;;;;Boiler power still total;BOPWSLTO
;;;;Boiler power still unloaded;BOPWSLUL
;;;;Boiler power total total;BOPWTOTO
;;;;CO2 emission AE (as 24h average) still loaded;CA24SLLO
;;;;CO2 emission AE (as 24h average) still total;CA24SLTO
;;;;CO2 emission AE (as 24h average) still unloaded;CA24SLUL
;;;;CO2 emission AE still loaded;COAESLLO
;;;;CO2 emission AE still total;COAESLTO
;;;;CO2 emission AE still unloaded;COAESLUL
;;;;CO2 emission Boiler (as 24h average) total loaded;CB24TOLO
;;;;CO2 emission Boiler (as 24h average) total total;CB24TOTO
;;;;CO2 emission Boiler (as 24h average) total unloaded;CB24TOUL
;;;;CO2 emission Boiler total loaded;COBOTOLO
;;;;CO2 emission Boiler total total;COBOTOTO
;;;;CO2 emission Boiler total unloaded;COBOTOUL
;;;;**CO2 emission ME (as 24h average) moving loaded**;**CM24MVLO**
;;;;**CO2 emission ME (as 24h average) moving total**;**CM24MVTO**
;;;;**CO2 emission ME (as 24h average) moving unloaded**;**CM24MVUL**
;;;;**CO2 emission ME moving loaded**;**COMEMVLO**
;;;;**CO2 emission ME moving total**;**COMEMVTO**
;;;;**CO2 emission ME moving unloaded**;**COMEMVUL**
;;;;CO2 emission per nautical mile manuvering loaded;CONMMALO
;;;;CO2 emission per nautical mile manuvering total;CONMMATO
;;;;CO2 emission per nautical mile manuvering unloaded;CONMMAUL
;;;;CO2 emission per nautical mile moving loaded;CONMMVLO
;;;;CO2 emission per nautical mile moving total;CONMMVTO
;;;;CO2 emission per nautical mile moving unloaded;CONMMVUL
;;;;CO2 emission per nautical mile steaming loaded;CONMSTLO
;;;;CO2 emission per nautical mile steaming total;CONMSTTO
;;;;CO2 emission per nautical mile steaming unloaded;CONMSTUL
;;;;CO2 emission Total (as 24h average) total loaded;CT24TOLO
;;;;CO2 emission Total (as 24h average) total total;CT24TOTO
;;;;CO2 emission Total (as 24h average) total unloaded;CT24TOUL
;;;;CO2 emission total loaded;COTOTOLO
;;;;CO2 emission total total;COTOTOTO
;;;;CO2 emission total unloaded;COTOTOUL
;;;;Count anchored loaded;COUNANLO
;;;;Count anchored total;COUNANTO
;;;;Count anchored unloaded;COUNANUL
;;;;Count at yard loaded;COUNYALO
;;;;Count at yard total;COUNYATO
;;;;Count at yard unloaded;COUNYAUL
;;;;Count maneuvering loaded;COUNMALO
;;;;Count maneuvering total;COUNMATO
;;;;Count maneuvering unloaded;COUNMAUL
;;;;Count moored loaded;COUNMOLO
;;;;Count moored total;COUNMOTO
;;;;Count moored unloaded;COUNMOUL
;;;;Count out of traffic loaded;COUNOTLO
;;;;Count out of traffic total;COUNOTTO
;;;;Count out of traffic unloaded;COUNOTUL
;;;;Count steaming loaded;COUNSTLO
;;;;Count steaming total;COUNSTTO
;;;;Count steaming unloaded;COUNSTUL
;;;;Count still undefined loaded;COUNSULO
;;;;Count still undefined total;COUNSUTO
;;;;Count still undefined unloaded;COUNSUUL
;;;;Count total total;COUNTOTO
;;;;Distance maneuvering loaded;DISTMALO
;;;;Distance maneuvering total;DISTMATO
;;;;Distance maneuvering unloaded;DISTMAUL
;;;;Distance moving loaded;DISTMVLO
;;;;Distance moving total;DISTMVTO
;;;;Distance moving unloaded;DISTMVUL
;;;;Distance steaming loaded;DISTSTLO
;;;;Distance steaming total;DISTSTTO
;;;;Distance steaming unloaded;DISTSTUL
;;;;Distance still total;DISTSLTO
;;;;Distance total total;DISTTOTO
;;;;Draft average total;DRFTAVTO
;;;;Draft distance total total;DRDITOTO
;;;;Draft time anchored loaded;DRTIANLO
;;;;Draft time anchored total;DRTIANTO
;;;;Draft time anchored unloaded;DRTIANUL
;;;;Draft time at yard loaded;DRTIYALO
;;;;Draft time at yard total;DRTIYATO
;;;;Draft time at yard unloaded;DRTIYAUL
;;;;Draft time maneuvering loaded;DRTIMALO
;;;;Draft time maneuvering total;DRTIMATO
;;;;Draft time maneuvering unloaded;DRTIMAUL
;;;;Draft time moored loaded;DRTIMOLO
;;;;Draft time moored total;DRTIMOTO
;;;;Draft time moored unloaded;DRTIMOUL
;;;;Draft time out of traffic loaded;DRTIOTLO
;;;;Draft time out of traffic total;DRTIOTTO
;;;;Draft time out of traffic unloaded;DRTIOTUL
;;;;Draft time steaming loaded;DRTISTLO
;;;;Draft time steaming total;DRTISTTO
;;;;Draft time steaming unloaded;DRTISTUL
;;;;Draft time still undefined loaded;DRTISULO
;;;;Draft time still undefined total;DRTISUTO
;;;;Draft time still undefined unloaded;DRTISUUL
;;;;Draft time total total;DRTITOTO
;;;;Draft total max;DRFTTOMA
;;;;Draft total min;DRFTTOMI
;;;;EEOI capacity design total;EEOICDTO
;;;;EEOI capacity used total;EEOICUTO
;;;;EEOI deadweight design total;EEOIDDTO
;;;;EEOI deadweight used total;EEOIDUTO
;;;;EEOI Total Total;EEOITOTO
;;;;EESH Total Total;EESHTOTO
;;;;Intake average total;INTKAVTO
;;;;Intake distance total total;INDITOTO
;;;;Intake time anchored loaded;INTIANLO
;;;;Intake time anchored total;INTIANTO
;;;;Intake time anchored unloaded;INTIANUL
;;;;Intake time at yard loaded;INTIYALO
;;;;Intake time at yard total;INTIYATO
;;;;Intake time at yard unloaded;INTIYAUL
;;;;Intake time maneuvering loaded;INTIMALO
;;;;Intake time maneuvering total;INTIMATO
;;;;Intake time maneuvering unloaded;INTIMAUL
;;;;Intake time moored loaded;INTIMOLO
;;;;Intake time moored total;INTIMOTO
;;;;Intake time moored unloaded;INTIMOUL
;;;;Intake time out of traffic loaded;INTIOTLO
;;;;Intake time out of traffic total;INTIOTTO
;;;;Intake time out of traffic unloaded;INTIOTUL
;;;;Intake time steaming loaded;INTISTLO
;;;;Intake time steaming total;INTISTTO
;;;;Intake time steaming unloaded;INTISTUL
;;;;Intake time still undefined loaded;INTISULO
;;;;Intake time still undefined total;INTISUTO
;;;;Intake time still undefined unloaded;INTISUUL
;;;;Intake time total total;INTITOTO
;;;;Intake total max;INTKTOMA
;;;;Intake total min;INTKTOMI
;;;;ISPI Total Total;ISPITOTO
;;;;Last Berth Area ID;LASTBEID
;;;;Last COG;LASTCGDG
;;;;Last Destination ETA;LASTDEET
;;;;Last Destination Name;LASTDENA
;;;;Last Draft;LASTDRPO
;;;;Last Draft;LASTDRNE
;;;;Last ECA Area ID;LASTECID
;;;;Last Economic Zone ID;LASTEZID
;;;;Last Economic Zone Latitude;LASTEZLA
;;;;Last Economic Zone Longitude;LASTEZLO
;;;;Last Economic Zone Name;LASTEZNA
;;;;Last Freshwater Area ID;LASTFWID
;;;;Last HDG;LASTHDDG
;;;;Last Intake;LASTITMT
;;;;Last Latitude;LASTLAPO
;;;;Last Longitude;LASTLOPO
;;;;Last Movement Type;LASTVMTY
;;;;Last Navigational Status ID;LASTNSID
;;;;Last Oil Field Area ID;LASTOFID
;;;;Last Piracy Area JWC ID;LASTPYID
;;;;Last Port Area ID;LASTPTID
;;;;Last Port Area Latitude;LASTPOLA
;;;;Last Port Area Longitude;LASTPOLO
;;;;Last Port Area Name;LASTPONA
;;;;Last Port Area Type ID;LASTPOTY
;;;;Last Port Area UNLOCODE;LASTPOUN
;;;;Last Position ID;LASTPOID
;;;;Last Sea Area ID;LASTSEID
;;;;Last Sea Area Latitude;LASTSALA
;;;;Last Sea Area Longitude;LASTSALO
;;;;Last Sea Area Name;LASTSANA
;;;;Last SOG;LASTSGKN
;;;;Last Speed From Previous;LASTSPCA
;;;;Last Terminal Area ID;LASTTEID
;;;;Last Territorial Water ID;LASTTWID
;;;;Last Time Logged;LASTTILO
;;;;Last Time Received;LASTTIRE
;;;;Last Trading Area ID;LASTTRID
;;;;Last Traffic Launch Area ID;LASTTLID
